id,symbol,name,peg_ccy,current_price,market_cap,total_volume,circulating_supply,price_change_percentage_24h,last_updated
euro-coin,eurc,EURC,EUR,1.15,468749484,38000805,406421437.1619515,-0.03131,2026-09-15T10:31:20.000Z
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,EUR,1.15,190877869,49952859,165425680.15,0.01202,2026-09-15T10:31:20.000Z
royal-euro,reur,Royal Euro,EUR,4.13,62008637,19804868,15000000.0,,2026-06-29T19:55:10.000Z
brz,brz,Brazilian Digital,BRL,0.193003,52663716,15848.44,272864390.4844788,-0.44431,2026-09-15T10:31:20.000Z
eurite,euri,Eurite,EUR,1.15,38221123,8615471,33139851.48990108,-0.06326,2026-09-15T10:31:20.000Z
monerium-eur-money-2,eure,Monerium EUR emoney,EUR,1.15,33047406,205311,28673634.30962451,-0.17801,2026-09-15T10:31:20.000Z
monerium-eur-money,eure,Monerium EUR emoney [OLD],EUR,1.15,27789711,539470,24096519.77456174,-0.07059,2026-09-15T10:31:20.000Z
brla-digital-brla,brla,BRLA Digital BRLA,BRL,0.193101,27234317,141047,141036445.8669555,-0.42094,2026-09-15T10:31:20.000Z
xsgd,xsgd,XSGD,SGD,0.786202,12962410,559830,16487374.589569,-0.09582,2026-09-15T10:31:20.000Z
rupiah-token,idrt,Rupiah Token,IDR,5.694e-05,9899305,5.45,173856905811.0,0.10147,2026-09-14T11:30:50.000Z
stasis-eurs,eurs,STASIS EURO,EUR,1.19,7014189,74.95,5907155.64,0.62154,2026-09-15T10:31:20.000Z
quantoz-eurq,eurq,Quantoz EURQ,EUR,1.11,5110781,2184387,4613598.585709,-0.64058,2026-09-15T10:31:20.000Z
zarp-stablecoin,zarp,ZARP Stablecoin,ZAR,0.061302,4413700,119974,72004353.81510787,-0.4748,2026-09-15T10:31:20.000Z
pht-stablecoin,pht,PHT Stablecoin,PHP,0.01607427,3616902,101.08,225011899.7613014,,2026-08-14T17:36:40.000Z
compliant-naira,cngn,Compliant Naira,NGN,0.00073088,3087256,2089.32,4224037194.720523,,2026-09-15T10:31:20.000Z
par-stablecoin,par,Parallel,EUR,1.21,2707121,518.11,2240894.0,-1.19533,2026-09-15T10:31:20.000Z
brl1,brl1,BRL1,BRL,0.194614,2618514,288961,13454917.54,0.09757,2026-09-15T10:31:20.000Z
mxnb,mxnb,MXNB,MXN,0.058359,2416450,134940,41406649.52821,-0.51963,2026-09-15T10:31:20.000Z
stablr-euro,eurr,StablR Euro,EUR,0.121033,2074880,5.89,17143032.563007,0.00105,2026-09-14T12:28:40.000Z
brazilian-real,wbrl,Brazilian real,BRL,0.193749,1773517,15461.22,9153687.38,-0.16276,2026-09-15T10:31:20.000Z
decentralized-euro,deuro,Decentralized Euro,EUR,1.15,1678247,3.49,1455785.969283271,,2026-08-03T23:52:30.000Z
ageur,eura,EURA,EUR,1.15,1595332,2806.26,1384291.923394123,-0.10472,2026-09-15T10:31:20.000Z
celo-euro,eurm,Mento Euro,EUR,1.15,1559288,6258.85,1354314.906281173,-0.50316,2026-09-15T10:31:20.000Z
bilira,tryb,BiLira,TRY,0.02048033,1380833,5.69,67422430.983414,,2026-09-04T07:42:20.000Z
anchored-coins-eur,aeur,Anchored Coins AEUR,EUR,1.14,1124108,8928.66,983181.76,,2026-07-31T11:00:20.000Z
idrx,idrx,IDRX,IDR,5.697e-05,1055815,21540,18534124233.14,-0.26622,2026-09-15T10:31:20.000Z
vnx-euro,veur,VNX EURO,EUR,0.289208,799394,0.104,2764082.75105,,2026-06-21T12:25:40.000Z
jarvis-synthetic-euro,jeur,Jarvis Synthetic Euro,EUR,1.13,593756,862.08,524148.3078995663,2.41905,2026-09-15T10:31:20.000Z
newrails-euro,eurw,Newrails Euro,EUR,1.15,510626,2337178,442653.9936,0.01248,2026-09-15T10:31:20.000Z
tether-eurt,eurt,Euro Tether,EUR,0.058974,244974,41.56,4153902.7318629995,,2026-09-14T07:52:40.000Z
celo-real-creal,brlm,Mento Brazilian Real,BRL,0.192835,213517,9221.37,1107254.613380483,-1.38095,2026-09-15T10:31:20.000Z
colombian-peso,wcop,Colombian Peso,COP,0.00031977,201860,665.01,631258753.7968985,-0.99323,2026-09-15T10:31:20.000Z
token-teknoloji-a-s-euro,eurot,Token Teknoloji A.Ş. EURO,EUR,1.15,184712,2593.69,160000.0,-0.05932,2026-09-15T10:31:20.000Z
argentine-peso,wars,Argentine Peso,ARS,0.00062754,182613,10812.16,291000000.0,-0.26616,2026-09-15T10:31:20.000Z
real-mxn,mxne,Real MXN,MXN,0.058408,83465,420.12,1428994.67,,2026-09-14T22:39:10.000Z
celo-kenyan-shilling,kesm,Mento Kenyan Shilling,KES,0.00773061,79986,167.0,10346607.84432118,-0.17287,2026-09-15T10:31:20.000Z
mexican-peso,wmxn,Mexican Peso,MXN,0.059419,57564,573.69,968788.6930900001,-0.06537,2026-09-15T10:31:20.000Z
celo-nigerian-naira,ngnm,Mento Nigerian Naira,NGN,0.00073052,56599,9.94,77476873.2520525,,2026-06-24T03:06:20.000Z
puso,phpm,Mento Philippine Peso,PHP,0.01594592,25782,6.34,1616827.365614742,0.00869,2026-09-15T10:31:20.000Z
ccop,copm,Mento Colombian Peso,COP,0.00031878,21675,9.93,67994219.89493266,,2026-08-16T05:39:40.000Z
celo-south-african-rand,zarm,Mento South African Rand,ZAR,0.061663,678.39,1.83,11001.49053576554,,2026-09-14T20:57:50.000Z
stablenaira,snr,StableNaira,NGN,0.0,3.9618e-14,14.94,27600988.77,,2026-07-23T17:18:30.000Z
real-usd,usdr,Real USD,BRL,0.441618,0.0,43.26,0.0,0.50592,2026-09-15T10:31:20.000Z
