coin_id,peg_ccy,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,target_coin_id,snapshot_utc
eurc,EUR,EURC,USDC,Uniswap V4 (Ethereum),uniswap-v4-ethereum,5621312,0.602808,47093.83073350922,46952.32972784553,,False,False,2026-09-15T10:29:58+00:00,usdc,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDC,Aerodrome Slipstream 3,aerodrome-slipstream-3,5177538,0.603271,9031.638217323109,9004.501204456741,,False,False,2026-09-15T10:30:59+00:00,usdc,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDC,Coinbase Exchange,gdax,4834084,0.018667,423946.65343374107,343719.6750364086,,False,False,2026-09-15T10:31:34+00:00,usdc,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDC,Uniswap V3 (Ethereum),uniswap_v3,3911244,0.602827,60654.77972821348,60472.532665356805,,False,False,2026-09-15T10:31:01+00:00,usdc,2026-09-15T10:33:59Z
eurc,EUR,EURC,WETH,Aerodrome Slipstream 3,aerodrome-slipstream-3,3615870,0.603038,12630.291894853262,12592.342146932757,,False,False,2026-09-15T10:30:59+00:00,l2-standard-bridged-weth-base,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,3285859,0.602884,29353.361070330433,29265.164165420218,,False,False,2026-09-15T10:25:48+00:00,usdc,2026-09-15T10:33:59Z
eurc,EUR,EURC,KRW,Upbit,upbit,2774530,0.318269,43842.8792198903,43653.90711646575,,False,False,2026-09-15T10:31:34+00:00,,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDC,Aerodrome SlipStream,aerodrome-slipstream,1497029,0.605037,2344.664813108443,2337.61988973246,,False,False,2026-09-15T10:29:50+00:00,usdc,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDC,Orca,orca,1054604,0.6035,8943.665405085136,8916.792720713793,,False,False,2026-09-15T10:31:42+00:00,usdc,2026-09-15T10:33:59Z
eurc,EUR,EURC,USD,Kraken,kraken,1005815,0.018667,204020.52795880995,194315.36718861002,,False,False,2026-09-15T10:30:55+00:00,,2026-09-15T10:33:59Z
eurc,EUR,EURC,KRW,Bithumb,bithumb,987099,0.12747,8252.136828144625,40200.651706058874,,False,False,2026-09-15T10:22:51+00:00,,2026-09-15T10:33:59Z
eurc,EUR,EURC,EURCV,Uniswap V3 (Ethereum),uniswap_v3,935489,0.60277,116156.40552154859,115807.39487748808,,False,False,2026-09-15T10:31:01+00:00,eur-coinvertible,2026-09-15T10:33:59Z
eurc,EUR,EURC,CBBTC,Aerodrome SlipStream,aerodrome-slipstream,704151,0.603721,6491.46767585432,6471.963014839069,,False,False,2026-09-15T10:29:50+00:00,coinbase-wrapped-btc,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDC,Kraken,kraken,511833,0.012999,192758.9921583093,561263.6530988849,,False,False,2026-09-15T10:07:52+00:00,usdc,2026-09-15T10:33:59Z
eurc,EUR,EURC,EUR,Kraken,kraken,293902,0.02,210846.76737879738,277992.40974859457,,False,False,2026-09-15T09:57:10+00:00,,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDC,PancakeSwap V3 (Base),pancakeswap-v3-base,265119,0.604185,3067.568977041966,3058.351971577908,,False,False,2026-09-15T10:30:50+00:00,usdc,2026-09-15T10:33:59Z
bitcoin,EUR,BTC,EURC,Kraken,kraken,232362,0.092361,63301.14884950966,164244.21947520046,,False,False,2026-09-15T10:03:28+00:00,eurc,2026-09-15T10:33:59Z
eurc,EUR,EURC,EURE,Uniswap V3 (Ethereum),uniswap_v3,175946,0.613478,1108.414411968633,1105.0840021985464,,False,True,2026-09-15T10:16:01+00:00,monerium-eur-money,2026-09-15T10:33:59Z
ethereum,EUR,ETH,EURC,Kanga Global,kanga,152653,0.372983,1093083.1604417465,292857.13124822226,,False,False,2026-09-15T10:29:51+00:00,eurc,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDT,PancakeSwap V3 (Base),pancakeswap-v3-base,138630,0.605303,1903.9991483593458,1898.278276005593,,False,False,2026-09-15T10:30:50+00:00,l2-standard-bridged-usdt-base,2026-09-15T10:33:59Z
bitcoin,EUR,BTC,EURC,Kanga Global,kanga,117728,1.272439,1000295.8898344564,254536.12861555026,,False,False,2026-09-15T10:30:52+00:00,eurc,2026-09-15T10:33:59Z
eurc,EUR,EURC,XLM,StellarTerm,stellar_term,86304,,,,,False,False,2026-09-15T10:31:41+00:00,stellar,2026-09-15T10:33:59Z
eurc,EUR,EURC,USDC,Velodrome SlipStream (Optimism),velodrome-finance-slipstream,82826,0.604957,2596.184300239226,2588.3836460208227,,False,False,2026-09-15T10:30:50+00:00,usdc,2026-09-15T10:33:59Z
