base_coin,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,snapshot_utc
tether,USDT,EUR,Kraken,kraken,74599405,0.011486,4504942.477422223,5120586.044458166,,False,False,2026-09-17T10:23:00+00:00,2026-09-17T10:25:21Z
tether,USDT,BRL,Binance,binance,66528892,0.011936,3681529.689892398,1541434.4984461793,,False,False,2026-09-17T10:23:38+00:00,2026-09-17T10:25:21Z
tether,USDT,PHP,Coins.ph,coinspro,48982724,0.015944,5780434.878974801,5516957.181540806,,False,False,2026-09-17T10:23:37+00:00,2026-09-17T10:25:21Z
tether,USDT,BRL,Foxbit,foxbit,39564905,0.011935,618279.850055701,3398664.6439922503,,False,False,2026-09-17T10:22:14+00:00,2026-09-17T10:25:21Z
tether,USDT,EUR,Niza.io,niza-global,37299635,0.011486,2156638.7310856176,2132672.1316457293,,False,False,2026-09-17T10:23:34+00:00,2026-09-17T10:25:21Z
tether,USDT,TRY,Binance,binance,25563263,0.020572,6669581.266688008,2871298.9481051182,,False,False,2026-09-17T10:23:38+00:00,2026-09-17T10:25:21Z
tether,USDT,EUR,Coinbase Exchange,gdax,22626294,0.01804,356489.76209341694,391272.9617770916,,False,False,2026-09-17T10:22:52+00:00,2026-09-17T10:25:21Z
tether,USDT,THB,Bitkub,bitkub,21377540,0.030048,2334908.0955862068,589381.4075802099,,False,False,2026-09-17T10:23:31+00:00,2026-09-17T10:25:21Z
tether,USDT,ZAR,VALR,valr,17111718,0.015513,712087.7806514316,1188417.0733800982,,False,False,2026-09-17T10:23:38+00:00,2026-09-17T10:25:21Z
tether,USDT,BRL,OKX,okex,9799529,0.011936,2111453.903563965,1172068.9408232477,,False,False,2026-09-17T10:22:56+00:00,2026-09-17T10:25:21Z
tether,USDT,TRY,OKX,okex,6702137,0.012056,1624833.3364513945,4459436.689987294,,False,False,2026-09-17T10:22:56+00:00,2026-09-17T10:25:21Z
tether,USDT,EUR,CEX.IO,cex,6580919,0.019181,3877465.9871292347,6087081.315359488,,False,False,2026-09-17T10:23:34+00:00,2026-09-17T10:25:21Z
