layer,corridor,asset,n_days,median,p10,p90,min,max
fiat,ARS,ALL_FRICTIONLESS,54,332663.398735295,231913.74232725022,684077.1328146849,169445.76908453813,748952.4898082083
fiat,ARS,USDC,30,3336.312331413479,791.4721074650757,86450.67733827044,442.4053327348625,215594.78699108335
fiat,ARS,USDT,54,331674.47317679063,226538.87756545015,657540.7762309391,169445.76908453813,747479.7523639183
fiat,BRL,ALL_FRICTIONLESS,54,13405414.766566418,8622244.502671978,18094030.421134837,6909965.746465733,21969087.227266796
fiat,BRL,USDC,54,3783292.02174251,2223368.5260417988,6481830.195752656,854415.0443662091,7924460.728495861
fiat,BRL,USDT,54,9154193.630626773,6422564.877229175,11630494.425987465,5424381.456425062,16115712.102460042
fiat,CLP,ALL_FRICTIONLESS,53,597819.3205713287,344026.1413948549,750179.3713476806,126597.88259714219,934603.2552352169
fiat,CLP,USDC,53,317182.5870995856,247953.15462676156,472543.7069022017,57512.594473674144,586908.2159296281
fiat,CLP,USDT,49,274931.17357489263,222177.14740243097,328934.3133468805,69085.28812346805,389193.8634075987
fiat,COP,ALL_FRICTIONLESS,41,3862.6081726131993,233.08299904271797,9007.518255491636,0.0,139448.39422782965
fiat,COP,USDC,40,2060.182944503119,0.0,9156.246948077998,0.0,69724.19711391482
fiat,COP,USDT,8,4498.288459489575,38.97620047175248,24454.834874820328,29.70513317571352,69724.19711391482
fiat,EUR,ALL_FRICTIONLESS,54,133785183.74104548,113732744.95111232,146630530.65452498,26868275.410599202,159601441.41703787
fiat,EUR,USDC,54,51021530.94421254,38386577.81583262,61230878.21685145,15605497.042872284,70124691.98305437
fiat,EUR,USDT,54,82981949.63678633,73218294.94220789,89310451.09990862,11262778.367726916,91371113.04062565
fiat,IDR,ALL_FRICTIONLESS,54,2414395.3555919183,1474055.1529814303,3348458.7631458584,994208.2629703042,3906649.7411388066
fiat,IDR,USDC,53,331841.73821600317,265023.8325949304,388514.42952910444,43940.59605487367,427461.08830728964
