base_coin,base,target,market_name,market_identifier,converted_volume_usd,bid_ask_spread_pct,cost_to_move_up_usd,cost_to_move_down_usd,trust_score,is_stale,is_anomaly,last_traded_at,snapshot_utc
tether,USDT,BRL,Binance,binance,132962884,0.011911,1471352.040690841,5008867.901903964,,False,False,2026-07-08,2026-07-08
tether,USDT,TRY,Binance,binance,37534576,0.021363,3176422.4332442884,1536528.120486631,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,BRL,Binance,binance,6645827,0.011459,584531.9862179614,606022.6426334713,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,TRY,Binance,binance,2154967,0.021345,359668.26247671,111327.9150220696,,False,False,2026-07-08,2026-07-08
tether,USDT,IDR,Binance,binance,1671504,0.044635,283268.7175389472,604435.471655309,,False,False,2026-07-08,2026-07-08
tether,USDT,ARS,Binance,binance,1349106,0.016367,97896.61088347052,415201.1758740722,,False,False,2026-07-08,2026-07-08
tether,USDT,EUR,KuCoin,kucoin,1301226,0.011412,194717.63454146605,181090.56224068327,,False,False,2026-07-07,2026-07-08
tether,USDT,BRL,KuCoin,kucoin,441542,0.243286,36105.48454415816,60359.65032311003,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,EUR,KuCoin,kucoin,204450,0.022805,35866.20294963371,47160.78732285082,,False,False,2026-07-08,2026-07-08
tether,USDT,BRL,OKX,okex,21213165,0.04581,723182.1464760957,979909.0175762824,,False,False,2026-07-08,2026-07-08
tether,USDT,TRY,OKX,okex,20636755,0.012136,2555069.418171224,1308890.3478899268,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,EUR,OKX,okex,4024590,0.011408,718634.6036942449,3275367.5976680126,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,BRL,OKX,okex,934751,0.127787,143576.60940239287,138406.46523316565,,False,False,2026-07-08,2026-07-08
tether,USDT,SGD,OKX,okex,162496,0.054096,427998.6044951755,647102.2130106931,,False,False,2026-07-08,2026-07-08
tether,USDT,BRL,Bybit,bybit_spot,5675212,0.01382,1969422.9675268133,1702181.007892948,,False,False,2026-07-08,2026-07-08
tether,USDT,TRY,Bybit,bybit_spot,4040483,0.042708,250682.59433470367,1231497.5561156624,,False,False,2026-07-08,2026-07-08
tether,USDT,EUR,Bybit,bybit_spot,2011554,0.022834,2383739.327157169,4288447.026259159,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,EUR,Bybit,bybit_spot,630558,0.01141,3398703.58026541,3723989.312070105,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,BRL,Bybit,bybit_spot,239907,0.06298,35681.138006444475,109985.93649957213,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,EUR,Coinbase Exchange,gdax,33888511,0.01141,1371401.1704365965,1710095.7231680637,,False,False,2026-07-08,2026-07-08
tether,USDT,EUR,Coinbase Exchange,gdax,22287826,0.013425,134701.2149630462,144373.74678019062,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,SGD,Coinbase Exchange,gdax,105094,0.015469,628717.6282228302,556551.5226262388,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,INR,Coinbase Exchange,gdax,57623,1.489879,12283.347074130848,11751.799388396988,,False,False,2026-07-08,2026-07-08
tether,USDT,EUR,Bitget,bitget,888011,0.011405,471994.9408375864,1551953.7238996052,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,EUR,Bitget,bitget,244280,0.011403,1794396.0119670213,1430884.0468604683,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,EUR,Kraken,kraken,98527610,0.01141,5990410.488000097,5417999.575782782,,False,False,2026-07-08,2026-07-08
tether,USDT,EUR,Kraken,kraken,71406704,0.011418,5231513.012610129,5096913.308547279,,False,False,2026-07-08,2026-07-08
tether,USDT,ZAR,VALR,valr,21013419,0.01061,675744.5662843639,1044638.01768645,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,ZAR,VALR,valr,402692,0.035953,177068.48429389967,199884.8449536353,,False,False,2026-07-08,2026-07-08
tether,USDT,IDR,Indodax,indodax,7099617,0.017857,985766.490708316,767547.9684875493,,False,False,2026-07-08,2026-07-08
tether,USDT,TRY,BtcTurk | Kripto,btcturk,6168877,0.012811,210228.87772153187,421228.8856189303,,False,False,2026-07-08,2026-07-08
tether,USDT,THB,Bitkub,bitkub,22574983,0.029994,4240329.6887140265,2218189.0727428067,,False,False,2026-07-08,2026-07-08
usd-coin,USDC,THB,Bitkub,bitkub,363629,0.029994,409550.5588249401,205919.08202038376,,False,False,2026-07-08,2026-07-08
tether,USDT,MXN,Bitso,bitso,2523161,0.01,283800.0,375642.0,,False,False,2026-07-07,2026-07-07 (manual web verification)
tether,USDT,BRL,Bitso,bitso,1430756,0.03,119736.0,77852.0,,False,False,2026-07-07,2026-07-07 (manual web verification)
tether,USDT,ARS,Bitso,bitso,1039287,0.05,72484.0,121048.0,,False,False,2026-07-07,2026-07-07 (manual web verification)
